method,dataset,n,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,seconds_mean
Non-residual + KMeans,cora,5,0.4270424811050299,0.00548485792999945,0.052120346858410584,0.0021548842095357066,5.484627620503306
Residual + KMeans,cora,5,0.7227547563200418,0.009426834187854323,0.2529856180985911,0.008960658883475955,5.188741011917591
