method,dataset,n,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
Non-residual + KMeans,Average,5,0.6456205746187363,0.005203997556300302,0.2016831013575601,0.005470314084240177
Residual + KMeans,Average,5,0.5504872004357299,0.003530952578956133,0.13148435587292262,0.0030554185077658054
