run_id,knn_k,num_clusters,selection_score,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,num_trials
k16__C16,16,16,1.0030189126575706,0.7382248898726417,0.003495445143899419,0.264794022784929,0.0013503211408098675,3
k16__C20,16,20,1.002935375257169,0.7382885187390764,0.00353172758883466,0.2646468565180926,0.00224132015143323,3
k16__C24,16,24,1.003806613454002,0.738157461689735,0.0027473835070948773,0.2656491517642671,0.0020674413603442945,3
k16__C28,16,28,1.001968239166067,0.7369690252110689,0.0018747124854289453,0.2649992139549981,0.0017823030758212107,3
k16__C32,16,32,1.0083817675551283,0.7405415088451552,0.0009065590243142358,0.2678402587099732,0.0020627897130275634,3
k16__C36,16,36,1.0071696104304466,0.7411005729370469,0.0038313317962757588,0.2660690374933998,0.00200271075500991,3
k16__C40,16,40,1.0049485752122806,0.7391716363288564,0.0019085793175400894,0.2657769388834243,0.0018464633473929302,3
k16__C48,16,48,1.0030528329149246,0.7376607818633568,0.0019895940255730115,0.26539205105156777,0.003703957799873696,3
k24__C16,24,16,1.0074704802260266,0.7417247487505524,0.0031070651818032747,0.2657457314754743,0.001857919003036574,3
k24__C20,24,20,1.0038238124094536,0.7384948443383116,0.004805485021601629,0.265328968071142,0.003924475683077263,3
k24__C24,24,24,1.0033014075081996,0.738852949419205,0.003776411272430461,0.26444845808899453,0.0047753689415202085,3
k24__C28,24,28,1.0060222353754449,0.7390218081312453,0.0010328562969668434,0.2670004272441996,0.0035374673182374927,3
k24__C32,24,32,1.0065070386995698,0.7386162544465787,0.0029362093477454825,0.267890784252991,0.003163716798082574,3
k24__C36,24,36,1.0088935004164417,0.7424420258104328,0.002191421008836134,0.2664514746060089,0.0030873343253062803,3
k24__C40,24,40,1.0068633713775916,0.7396572266370268,0.0025214873425378074,0.2672061447405648,0.003320247262570737,3
k24__C48,24,48,1.0062430689878386,0.7396380594500597,0.0017712627114297383,0.26660500953777894,0.00356279054234526,3
k30__C16,30,16,1.010310680568766,0.7437809425698155,0.001102630610943142,0.26652973799895047,0.0007539576935946665,3
k30__C20,30,20,1.0066343890292848,0.7411002825379814,0.00292839224816363,0.26553410649130343,0.003882780699413157,3
k30__C24,30,24,1.0068565886741987,0.7410066856627906,0.004400368099717087,0.2658499030114082,0.0035527892471086692,3
k30__C28,30,28,1.0056278964696606,0.7396811767588062,0.0016224495264003235,0.26594671971085443,0.0019674977194993055,3
k30__C32,30,32,1.0089818722429769,0.7406106624195604,0.002882179461620654,0.26837120982341656,0.0028050168953590205,3
k30__C36,30,36,1.0104233165974124,0.7423434782598943,0.0029037770300698253,0.2680798383375181,0.0032381343496512695,3
k30__C40,30,40,1.0086250510373458,0.7411478596757886,0.003136048914551798,0.2674771913615573,0.0037061035500200365,3
k30__C48,30,48,1.0081744924811307,0.7408722820479093,0.0011059796660430178,0.2673022104332213,0.003505873110603086,3
k36__C16,36,16,1.0127948940781217,0.7455472700590101,0.0016561863732962494,0.26724762401911156,0.000879176262515916,3
k36__C20,36,20,1.0072131850872184,0.7411089548606004,0.0033817906103291435,0.26610423022661805,0.004945903461633093,3
k36__C24,36,24,1.00968958583966,0.7427402567630303,0.004133996137594778,0.26694932907662966,0.0024963439528177898,3
k36__C28,36,28,1.0069614257366426,0.7409876647386291,0.0012797778264617408,0.2659737609980135,0.0015133789651815158,3
