param,value,is_baseline,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
knn_k,8.0,False,0.7390595512886279,0.00144671023584395,0.2626749838098701,0.0025513828685164892
knn_k,12.0,False,0.7388200115916991,0.0013538111362819876,0.2627289333101231,0.002558490545876162
knn_k,16.0,False,0.7387992507681923,0.0014321473077062276,0.2629273401146334,0.002610325197400771
knn_k,20.0,True,0.7388060049962956,0.0014613708453493695,0.2628535532605132,0.002595755012769169
knn_k,24.0,False,0.7388605781805792,0.0013938472926194056,0.262909280904945,0.0027196184973485612
knn_k,28.0,False,0.73895802379649,0.0013298803052062141,0.2629907528023187,0.002642253528034077
knn_k,32.0,False,0.7389227623618303,0.001381874837254673,0.2629417322362289,0.0026186528246799493
knn_k,40.0,False,0.7389633444907941,0.0012711309889737012,0.2629503082206442,0.002599243212696595
num_clusters,12.0,False,0.739117976705231,0.001712847685604976,0.26268141324991495,0.003065579651725343
num_clusters,16.0,False,0.7384861961168477,0.0018011192516739721,0.2625890723271144,0.0029444536433555933
num_clusters,20.0,False,0.7388130653984238,0.00147926841879186,0.26275330375945677,0.0029506179313273863
num_clusters,24.0,False,0.7391332362063676,0.0015279370150344438,0.2629058816336384,0.002764881428445886
num_clusters,28.0,True,0.7388060049962956,0.0014613708453493695,0.2628535532605132,0.002595755012769169
num_clusters,32.0,False,0.7388260360825063,0.0013447012509993385,0.26298310633838623,0.0026221284297029087
num_clusters,36.0,False,0.7388612258568389,0.0014495901984844834,0.2629881515275336,0.0025687482820323172
num_clusters,40.0,False,0.738996018209272,0.0014753388253132284,0.2629514013251973,0.0025861816621099336
num_hops,1.0,False,0.7241055107847624,0.0017890626496271545,0.2334078835966087,0.0029106444993048934
num_hops,2.0,False,0.7364525406468915,0.0016716361794403096,0.25909687286995425,0.002742820878710351
num_hops,3.0,True,0.7388060049962956,0.0014613708453493695,0.2628535532605132,0.002595755012769169
num_hops,4.0,False,0.738960689816055,0.0011143949634068596,0.26419957776388064,0.0027644698878343797
num_hops,5.0,False,0.7382059382556232,0.0013955404897215758,0.2640680159933793,0.0028271812584302926
num_hops,6.0,False,0.7373326622188419,0.001271274255102058,0.2634843522976444,0.003195299406199813
tau_s,0.02,False,0.7386097315224744,0.001431524172868058,0.2631877475685219,0.002848503674384951
tau_s,0.03,False,0.7387405504056958,0.0013638641080107024,0.26310991165047376,0.0027617379115670317
tau_s,0.05,True,0.7388060049962956,0.0014613708453493695,0.2628535532605132,0.002595755012769169
tau_s,0.08,False,0.7389402201949699,0.0012568712733513245,0.2626681450691215,0.0024689208047450496
tau_s,0.1,False,0.7389260543852366,0.0012537612478314582,0.2625027267797626,0.00248589044655309
tau_s,0.15,False,0.7389364992706732,0.001205860794149476,0.2623296129044626,0.0025892238839245324
tau_s,0.2,False,0.7392553128410592,0.0010761009470902831,0.26234180697258574,0.0025560151139144343
beta,0.0,False,0.7383362871692603,0.0014046597738787373,0.26292920962639177,0.00261184017123145
beta,0.002,False,0.7385880305164528,0.0013823144758402183,0.26291091560804314,0.0025774569135880903
beta,0.005,True,0.7388060049962956,0.0014613708453493695,0.2628535532605132,0.002595755012769169
beta,0.01,False,0.7390481091505525,0.0015889453562589245,0.2626328745993274,0.0026899259988445736
beta,0.02,False,0.7395022302024984,0.0014794541569025628,0.262012728483804,0.0025789218612254417
beta,0.03,False,0.7391806767463095,0.0016956172918139334,0.2614286362350102,0.0027489692734294696
beta,0.05,False,0.7387457647666472,0.0014480970534419195,0.260263905961497,0.0028143026595188994
lambda_H,0.1,False,0.738934576178489,0.0013715292795092567,0.2629674147901386,0.0026549583568418115
lambda_H,0.2,False,0.738951007245006,0.0014493181161781901,0.26294104369810456,0.00261250410012097
lambda_H,0.35,True,0.7388060049962956,0.0014613708453493695,0.2628535532605132,0.002595755012769169
lambda_H,0.5,False,0.7401021285624373,0.0011278563772649378,0.2605758413106827,0.001937430627244876
lambda_H,0.8,False,0.6799564784121707,0.012460622501846375,0.1804425444646813,0.014315651234599524
lambda_H,1.2,False,0.6893492748797456,0.008557404314884533,0.1931939736389374,0.004373271181418532
lambda_H,1.5,False,0.6957175253764181,0.00553547546436613,0.19749401833725053,0.002666760710742011
lambda_bal,0.0,False,0.7389068210092451,0.0014249597598213716,0.26287539826017187,0.002589611674371964
lambda_bal,0.005,False,0.7387080811854311,0.0014406202820602542,0.26283894603705776,0.0025770317129056638
lambda_bal,0.01,True,0.7388060049962956,0.0014613708453493695,0.2628535532605132,0.002595755012769169
lambda_bal,0.02,False,0.7388094163550055,0.0013252922176873274,0.2628538506956233,0.0025625295165003815
lambda_bal,0.05,False,0.7386342967489247,0.0013923998073882456,0.26281868520160573,0.002584425396367243
lambda_bal,0.1,False,0.7386893488893477,0.0013794097754957484,0.26282973482491073,0.0025855939762831795
lambda_E,0.0,False,0.738695152910072,0.0013370798320910462,0.26284300612224903,0.0025716367168932565
lambda_E,0.01,False,0.7388376264632998,0.0014060521244521243,0.2628586349237314,0.0025848549864967204
lambda_E,0.05,False,0.7387987285757088,0.001484877842763867,0.26286104904193597,0.0025929879804383197
lambda_E,0.1,True,0.7388060049962956,0.0014613708453493695,0.2628535532605132,0.002595755012769169
lambda_E,0.2,False,0.738774403337558,0.0014592167463371788,0.2628457260546977,0.0025960276378656933
lambda_E,0.3,False,0.7388399962185032,0.0013148604941008886,0.26286540312927337,0.0025742093196773693
