run_id,kind,param,value,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,num_trials
baseline,baseline,baseline,baseline,0.7388060049962956,0.0014613708453493695,0.2628535532605132,0.002595755012769169,3
beta__0,sensitivity,beta,0,0.7383362871692603,0.0014046597738787373,0.26292920962639177,0.00261184017123145,3
beta__0p002,sensitivity,beta,0.002,0.7385880305164528,0.0013823144758402183,0.26291091560804314,0.0025774569135880903,3
beta__0p01,sensitivity,beta,0.01,0.7390481091505525,0.0015889453562589245,0.2626328745993274,0.0026899259988445736,3
beta__0p02,sensitivity,beta,0.02,0.7395022302024984,0.0014794541569025628,0.262012728483804,0.0025789218612254417,3
beta__0p03,sensitivity,beta,0.03,0.7391806767463095,0.0016956172918139334,0.2614286362350102,0.0027489692734294696,3
beta__0p05,sensitivity,beta,0.05,0.7387457647666472,0.0014480970534419195,0.260263905961497,0.0028143026595188994,3
knn_k__12,sensitivity,knn_k,12,0.7388200115916991,0.0013538111362819876,0.2627289333101231,0.002558490545876162,3
knn_k__16,sensitivity,knn_k,16,0.7387992507681923,0.0014321473077062276,0.2629273401146334,0.002610325197400771,3
knn_k__24,sensitivity,knn_k,24,0.7388605781805792,0.0013938472926194056,0.262909280904945,0.0027196184973485612,3
knn_k__28,sensitivity,knn_k,28,0.73895802379649,0.0013298803052062141,0.2629907528023187,0.002642253528034077,3
knn_k__32,sensitivity,knn_k,32,0.7389227623618303,0.001381874837254673,0.2629417322362289,0.0026186528246799493,3
knn_k__40,sensitivity,knn_k,40,0.7389633444907941,0.0012711309889737012,0.2629503082206442,0.002599243212696595,3
knn_k__8,sensitivity,knn_k,8,0.7390595512886279,0.00144671023584395,0.2626749838098701,0.0025513828685164892,3
lambda_E__0,sensitivity,lambda_E,0,0.738695152910072,0.0013370798320910462,0.26284300612224903,0.0025716367168932565,3
lambda_E__0p01,sensitivity,lambda_E,0.01,0.7388376264632998,0.0014060521244521243,0.2628586349237314,0.0025848549864967204,3
lambda_E__0p05,sensitivity,lambda_E,0.05,0.7387987285757088,0.001484877842763867,0.26286104904193597,0.0025929879804383197,3
lambda_E__0p2,sensitivity,lambda_E,0.2,0.738774403337558,0.0014592167463371788,0.2628457260546977,0.0025960276378656933,3
lambda_E__0p3,sensitivity,lambda_E,0.3,0.7388399962185032,0.0013148604941008886,0.26286540312927337,0.0025742093196773693,3
