method,dataset,n,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
Non-residual + KMeans,Average,5,0.8991818181818182,0.0200464709195136,0.17052268179507285,0.027260846706381736
Residual + KMeans,Average,5,0.4686287878787878,0.02274720590516986,0.021601224464063436,0.001620909164565831
