method,dataset,n,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
Non-residual + KMeans,Average,5,0.3346519777567937,0.004323691944739456,0.04070946871171277,0.0005335932836655537
Residual + KMeans,Average,5,0.8397725317385374,0.016779345947376744,0.36915963248825784,0.02872546151269932
