method,baseline,auroc_delta_mean,auroc_delta_std,auprc_delta_mean,auprc_delta_std,seed_auroc_deltas,seed_auprc_deltas,positive_auroc_seeds,positive_auprc_seeds
residual_knn_context,prototype_only,0.012235366621023832,0.0021476432473211213,0.003814133402315012,0.0004905844038364685,"[0.009384051711530228, 0.012754900606357866, 0.014567147545183401]","[0.003985996210088938, 0.0031460877764669104, 0.004310316220389188]",3,3
aligned_feature_knn_context,prototype_only,0.015105596892776315,0.0012646681605936302,0.005489538730110395,0.0007617253333724804,"[0.01525197490700747, 0.013488708289773887, 0.016576107481547586]","[0.006402622073385933, 0.004537974501989894, 0.0055280196149553595]",3,3
