method,dataset,n,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,seconds_mean
Non-residual + KMeans,weibo,5,0.8101344733110816,0.002623876780899701,0.405262481349999,0.01213416831139694,11.16116756387055
Residual + KMeans,weibo,5,0.7564695428818443,0.002092900061512072,0.27278900971017506,0.003948120020646314,10.897992964461446
