method,dataset,n,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
RECAP,Average,5,0.7448118082838753,0.002454384642903591,0.2658414944970069,0.005708634301059843
RECAP C=1,Average,5,0.7395778639751605,0.001021736960654992,0.26445722936661,0.002470740642145324
RECAP w/o Adhesion Score,Average,5,0.6172560300852858,0.012860389819315195,0.11998538810200379,0.011827077821845179
RECAP w/o Context Score,Average,5,0.7315938811759757,0.0019088744229669486,0.2615153454943394,0.005424849797637319
RECAP w/o L_H,Average,5,0.7443093328914456,0.0026292859680171247,0.26577831865354146,0.005352484958948451
RECAP w/o L_con,Average,5,0.7420132416938525,0.0032417150825086853,0.26602823196188463,0.0021787481858407875
RECAP w/o Residual,Average,5,0.5339028790875309,0.0019072161258694247,0.10600892480100413,0.0005016058454383252
