trial,dataset,community,hard_size,hard_share,soft_mass,soft_share,hard_anomaly_rate,soft_anomaly_rate,anomaly_lift,risk_tier,mean_total_score,mean_adhesion_score,mean_context_score,mean_context_raw,mean_assignment_prob_hard,prototype_norm,top_nodes_by_score
0,weibo,8,6882,0.8187983343248066,1282.0225830078125,0.15253094384388013,0.08660273253917694,0.2366125272879741,2.2911615740324422,high-risk,-0.018005529418587685,-0.015729621052742004,-0.1137954443693161,0.013610579073429108,0.18318906426429749,2.7983036041259766,2109;1454;3947;3706;6817
0,weibo,32,143,0.017013682331945272,219.53195190429688,0.026119209030850313,0.35664334893226624,0.21575296215666706,2.0891746605428163,high-risk,0.3970106840133667,0.3849432170391083,0.6033754348754883,0.06743890047073364,0.3321593999862671,4.308391094207764,5245;2303;5731;3734;2925
0,weibo,0,87,0.010350981558596074,215.33543395996094,0.025619920756687797,0.37931033968925476,0.0962760113700251,0.9322578997841727,baseline-risk,0.023037822917103767,0.004611753858625889,0.9213033318519592,0.09130143374204636,0.1822168380022049,0.6083880662918091,8025;2230;783;5362;515
0,weibo,20,167,0.019869125520523497,257.1694030761719,0.030597192513524316,0.20958083868026733,0.09526116634246971,0.9224309732161516,baseline-risk,-0.053784217685461044,-0.06362650543451309,0.4921145439147949,0.05908804014325142,0.11007548868656158,0.48947668075561523,3230;7319;8093;5041;4103
0,weibo,27,16,0.0019036287923854848,193.2755126953125,0.022995301926866447,0.5625,0.08958071060186941,0.8674261006296067,baseline-risk,1.5550464391708374,1.4896132946014404,3.27165150642395,0.26771026849746704,0.3331120014190674,0.9634002447128296,6598;965;7354;3886;7589
0,weibo,29,12,0.0014277215942891136,205.52647399902344,0.024452882093875482,0.1666666716337204,0.0894095708369109,0.8657689235656693,baseline-risk,2.352625608444214,2.215951919555664,6.833690643310547,0.5350643396377563,0.6454771161079407,1.4574159383773804,480;1073;1097;7145;2373
0,weibo,14,63,0.007495538370017847,196.68881225585938,0.02340140538439731,0.2222222238779068,0.08317092594688649,0.8053590052494625,baseline-risk,-0.07431988418102264,-0.07650511711835861,0.10926169902086258,0.030352462083101273,0.04786084592342377,0.28516682982444763,7646;1978;4688;6010;4962
0,weibo,22,5,0.000594883997620464,198.23345947265625,0.023585182566645598,0.20000000298023224,0.07960477948888002,0.7708273689679561,low-risk,-0.0026794583536684513,-0.022965900599956512,1.01432204246521,0.09828309714794159,0.09249305725097656,0.3329697847366333,1022;7076;8302;3078;6126
0,weibo,11,31,0.003688280785246877,195.40135192871094,0.023248227475158947,0.32258063554763794,0.07704521933647862,0.7460426885673729,low-risk,-0.09534008800983429,-0.0933765321969986,-0.098178431391716,0.014782737009227276,0.03802444785833359,0.27932366728782654,7202;3619;3433;5965;1766
0,weibo,9,0,0.0,190.81707763671875,0.022702805191757137,nan,0.07637802301695877,0.7395821068427237,low-risk,nan,nan,nan,nan,nan,0.29449307918548584,
