setting,dataset_count,seed_pair_count,seed_count,nmi_mean,nmi_std,ari_mean,ari_std,soft_coassignment_similarity_mean,soft_coassignment_similarity_std,score_spearman_mean,score_spearman_std,effective_communities_mean,effective_communities_std
OFO,12,3,3,0.3724323602732942,0.007803563167409756,0.4151251177274131,0.016583229334019643,0.6500459106585673,0.012397482618577078,0.898862174848628,0.006191836865735626,24.913301547368366,1.4872219078465225
A,8,3,3,0.2648468348157012,0.03699364071606142,0.36362097916220365,0.09396280829937637,0.5756027533767173,0.07807492057614085,0.8778324954609564,0.018501657231007582,16.19646692276001,2.328277661077861
B,5,3,3,0.1721404414024034,0.005254020678891768,0.25742430843741854,0.055806287215910376,0.5732210637688803,0.04038370770734671,0.7350023152444001,0.005874222787262303,22.343082586924236,1.2875248923612943
C,5,3,3,0.09149763223048347,0.019111133896158847,0.047133663603127825,0.09623940711907047,0.3310433951030443,0.0786001273028137,0.6625976909523926,0.01775807211451459,16.148394838968912,0.4887835910493492
