setting,source_graph_count,target_graph_count,seed_count,data_prepare_seconds_mean,data_prepare_seconds_std,train_seconds_mean,train_seconds_std,diagnostic_seconds_mean,diagnostic_seconds_std,inference_per_target_seconds_mean,inference_per_target_seconds_std
OFO,1,12,3,0.2161493901059859,0.098666300806443,3.9940202958467936,0.016511492567549264,0.12979691894724965,0.001052176035440776,0.019821872675998345,0.00011336131071713764
A,4,8,3,0.8356009088456631,0.0563995205102229,25.917888971045613,0.22510300956583532,0.6983092942585548,0.014802975921715481,0.014877931447699666,0.0032588476735389235
B,4,5,3,0.642702316865325,0.016478909666346193,24.682595090940595,0.08662374705093162,0.6702002796034018,0.017544827430119155,0.012070411071181298,0.00044718329437482706
C,4,5,3,0.6431547955920299,0.015935154648031163,11.658293653900424,0.10111366574611844,0.3236630894243717,0.005747214408419893,0.046263888726631806,0.024223820076459936
