setting,method,aggregation,dataset_count,seed_count,auroc_mean,auroc_std,auprc_mean,auprc_std
OFO,ADA-GAD,dataset_macro,12,3,0.5757474312304177,0.007455375461297787,0.07171768948410889,0.0006136291795964901
OFO,AnomalyDAE,dataset_macro,12,3,0.5623811302961959,0.0032570481913848075,0.09968526106075958,0.0010937298729245478
OFO,BWGNN,dataset_macro,12,3,0.7437794544966808,0.008145906687509988,0.29687414630503045,0.007815825989687575
OFO,CoLA,dataset_macro,12,3,0.5436274280425453,0.0019009214074980076,0.11880707076866635,0.0024180273995930233
OFO,DOMINANT,dataset_macro,12,3,0.5332117116616827,0.0017809808519167387,0.10402405393073404,0.0001239002198489968
OFO,DiffGAD,dataset_macro,12,3,0.5503291255682221,0.021690292793457334,0.10608477765301168,0.0024269360404427123
OFO,GAT,dataset_macro,12,3,0.8308508232545108,0.008931285798325068,0.43336051239486567,0.04730948896753045
OFO,GCN,dataset_macro,12,3,0.8152498865267656,0.004650693470939896,0.4282692734869377,0.006593641419620893
OFO,GUIDE,dataset_macro,12,3,0.7519202261372905,0.001434837220486808,0.33087880480599496,0.0008791221522739609
OFO,RECAP-OFO,dataset_macro,12,3,0.7108255562672888,0.0035445910612879996,0.2360564769465697,0.0026123169144912526
OFO,XGBGraph,dataset_macro,12,3,0.8884011985238676,0.0028975097523761422,0.6198103896039243,0.016121760256991392
