method,dataset,n,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
RECAP,Average,5,0.7447391777342907,0.002439377239162858,0.2661833485837598,0.005849169393577552
Residual + GMM,Average,5,0.6614090669223599,0.004268777307605575,0.17571084223127922,0.004594343028292406
Residual + KMeans,Average,5,0.6781751904456365,0.0034125647059319794,0.1822806766416107,0.00447542935995906
Residual + LOF,Average,5,0.5891936001519613,0.0,0.1512670100794125,0.0
Residual + Spectral Clustering,Average,5,0.5214537809531106,0.006955272009705365,0.08708263964862326,0.0030459291301199675
