method,dataset,n,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
Non-residual + KMeans,Average,5,0.5267482293292807,0.00845381947341633,0.07851374416533378,0.0018350839606962213
Residual + KMeans,Average,5,0.7542689511842801,0.00903305689228063,0.13550078816913927,0.005516932177219711
