run_id,target,seed,primary_knn,nodes_scored,evaluation_nodes,anomalies,auroc,auprc,primary_inference_seconds,total_run_phase_seconds,node_throughput_per_second,peak_gpu_allocated_gib,peak_gpu_reserved_gib,peak_rss_gib,effective_communities,score_sha256,mask_sha256
ofa_a__seed0__tfinance,tfinance,0,exact,39357,39357,1804,0.22975581798567263,0.02706982462488621,0.3267489764839411,0.41839284636080265,120450.26253336803,0.7006568908691406,1.25390625,1.8195877075195312,19.248180389404297,4a6eaa1a261e09874aaa994fd3f24a8b86ff63dd910ab251c54d85cef52000cf,347041a0acebd0d7ed8ca0ca3621a573a4ec50312616d8c7008c509a61196dd6
ofa_a__seed1__tfinance,tfinance,1,exact,39357,39357,1804,0.2586874261317471,0.02802218443469591,0.07596426084637642,0.16608103923499584,518098.9002129858,0.7006568908691406,1.25390625,1.8220863342285156,8.055485725402832,b021857db72ba553da65b619e0683df84883d4341aac99b65f160dd3c451af81,347041a0acebd0d7ed8ca0ca3621a573a4ec50312616d8c7008c509a61196dd6
ofa_a__seed2__tfinance,tfinance,2,exact,39357,39357,1804,0.2785244821465337,0.028945405354740553,0.0739357341080904,0.1628978531807661,532313.6433928147,0.7006568908691406,1.25390625,1.8228569030761719,13.1316499710083,fc24fed8e291d6cba02422da92b9781806f625271665bd26028f32f0e74a68f6,347041a0acebd0d7ed8ca0ca3621a573a4ec50312616d8c7008c509a61196dd6
ofa_a__seed0__dgraphfin,dgraphfin,0,faiss_ivfpq,3700550,1225601,15509,0.371793451879588,0.009116009886835103,6.758547430858016,7.301713740453124,547536.2920594618,48.09721565246582,65.75390625,2.8623504638671875,17.81809425354004,36b62d18c5243af51ff07de9a159bdb2affdb7329eb6b9b69c0b91b08ba1a57f,1bb848e981f686b85cf33426b0e7017f4c754ec7981124c399755c892b69cfee
ofa_a__seed1__dgraphfin,dgraphfin,1,faiss_ivfpq,3700550,1225601,15509,0.37233519509164004,0.009095962218640032,6.53904502466321,7.097506932914257,565915.9687756692,48.09721565246582,65.75390625,2.8820838928222656,15.59516716003418,3ede1820841d09f89cebd79feafc410f856246241dc186ba7804c67e13b9c841,1bb848e981f686b85cf33426b0e7017f4c754ec7981124c399755c892b69cfee
ofa_a__seed2__dgraphfin,dgraphfin,2,faiss_ivfpq,3700550,1225601,15509,0.3582680305406522,0.008918964587619664,6.524761034175754,7.0672570038586855,567154.8705948087,48.09721565246582,65.75390625,2.890148162841797,16.145950317382812,8969105d5a12c573448097def287cf46d0f376e58087297be2bd8eb5b6b17d08,1bb848e981f686b85cf33426b0e7017f4c754ec7981124c399755c892b69cfee
ofa_a__seed0__tsocial,tsocial,0,faiss_ivfpq,5781065,5781065,174280,0.4306819713186005,0.025871960622900137,10.604222603142262,14.340545166283846,545166.3187725751,75.13265037536621,80.6640625,3.4171104431152344,22.96828842163086,0f655de0bbec611793911d5766d8475e827b5720c2f636c5520ffa4e48009e7b,20c4477d9f6766a4a99ef88c362244eb713a97df80f3e48ac4d4b1c2861e2884
ofa_a__seed1__tsocial,tsocial,1,faiss_ivfpq,5781065,5781065,174280,0.4403103328255633,0.025868655218816688,10.552418729290366,14.551766226068139,547842.6461559461,75.13265037536621,80.6640625,3.4603919982910156,15.848421096801758,588e94bdefb494df9ab3fe5b02c50d561b28d8172a0031d52846eb87e91cbfb0,20c4477d9f6766a4a99ef88c362244eb713a97df80f3e48ac4d4b1c2861e2884
ofa_a__seed2__tsocial,tsocial,2,faiss_ivfpq,5781065,5781065,174280,0.4425621602072907,0.026116565593964816,10.385714368894696,14.058738956227899,556636.2403836504,75.13265037536621,80.6640625,3.460407257080078,16.14389419555664,2ca4b89c370e79596a9c8fe7607b6b4a2f00617cde85ab3a5d8abd4dd2647a27,20c4477d9f6766a4a99ef88c362244eb713a97df80f3e48ac4d4b1c2861e2884
