target,display,nodes,adjacency_nnz,evaluation_nodes,anomaly_prevalence,primary_knn,auroc_mean,auroc_std,auprc_mean,auprc_std,setup_seconds,primary_inference_seconds_mean,primary_inference_seconds_std,cold_latency_seconds_mean,node_throughput_mean,node_throughput_std,adjacency_nnz_throughput,peak_gpu_allocated_gib,peak_gpu_reserved_gib,peak_rss_gib,candidate_cache_gib,ann_recall_at_64_mean,ann_nlist,ann_nprobe,ann_search_k
tfinance,T-Finance,39357,42445086,39357,0.04583682699392738,exact,0.2556559087546511,0.020024788375318556,0.028012471471440894,0.000765733428285863,9.706947403028607,0.1588829904794693,0.11870206589924237,9.865830393508077,390287.60204638954,190892.0411777581,4372650.251175458,0.9839744567871094,1.25390625,3.1785316467285156,0.018767118453979492,0.8934139733719542,614,16,256
dgraphfin,DGraph-Fin,3700550,7994520,1225601,0.012654199857865651,faiss_ivfpq,0.3674655591706268,0.006507394312183242,0.009043645564364933,8.85418421675335e-05,503.72732146829367,6.6074511632323265,0.10700021702118778,510.334772631526,560202.3771433133,8970.544500117767,15870.72937933386,48.09721565246582,65.75390625,4.968395233154297,0.8822799921035767,0.57354736328125,4096,16,256
tsocial,T-Social,5781065,146211016,5781065,0.030146694423951296,faiss_ivfpq,0.4378514881171515,0.005152291398514086,0.02595239381189388,0.00011609482315561087,841.6924201138318,10.514118567109108,0.09322602971928039,852.2065386809409,549881.7351040572,4899.53659337865,173710.74338560185,75.13265037536621,80.6640625,9.255374908447266,1.378313422203064,0.43377685546875,4096,16,256
