param,value,is_baseline,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
beta,0.0,False,0.7335724890705713,0.0032421537633500292,0.2637610651259025,0.0035028681017104497
beta,0.005,False,0.7360887666816566,0.004771414380700461,0.2647557754310526,0.004813972181744584
beta,0.01,False,0.7353834087242818,0.005352044397135855,0.2628227256003186,0.0040472404876280565
beta,0.015,False,0.7353927796186269,0.004157844138849667,0.2635736467119961,0.004997649039349032
beta,0.02,True,0.7347275601948778,0.004547153251052439,0.26211586202442777,0.0036313722669648516
beta,0.03,False,0.7350733648018997,0.0036869579062725794,0.2618723658737638,0.003792676190103474
beta,0.04,False,0.734705282966459,0.003957124506051878,0.26206682016920985,0.004717078718630488
beta,0.05,False,0.7341876664736079,0.0039584560488622,0.2610680835599222,0.005447143762947186
beta,0.08,False,0.7317677132330909,0.003963480696803867,0.25792921483519776,0.004039511427442158
beta,0.12,False,0.7302235352717178,0.003800739026376707,0.256816108412046,0.005383143702578528
lambda_H,0.0,False,0.7376860578846974,0.003833218687078585,0.262124327261931,0.0035719414729866337
lambda_H,0.025,False,0.7373149614851072,0.0035351770968982507,0.2628647189805555,0.003340565623148703
lambda_H,0.05,False,0.7366106062799074,0.003312401494185023,0.2626187671847258,0.0032124151501487365
lambda_H,0.075,False,0.7351382057352763,0.0034727606474174873,0.2625915968391718,0.003438205169570357
lambda_H,0.1,True,0.7347275601948778,0.004547153251052439,0.26211586202442777,0.0036313722669648516
lambda_H,0.15,False,0.7350083675489948,0.004515034930058541,0.2609933458870885,0.004064628638479016
lambda_H,0.2,False,0.7369158512946935,0.004535432215845373,0.2607030625469955,0.0050087925164002105
lambda_H,0.3,False,0.7389315558862499,0.004173463869976176,0.2613288910517095,0.0030795484104513783
lambda_H,0.5,False,0.7379727968784898,0.002080599813256266,0.26160930274249017,0.0036607903960868098
lambda_H,0.8,False,0.7400143936969767,0.002533951744116021,0.262572344475729,0.0034750163168032907
cluster_init_gain,0.8,False,0.7397361676153054,0.0020061451503293444,0.26601189843929635,0.0029719630723473098
cluster_init_gain,1.0,False,0.7392107807581029,0.002087949922522292,0.26517041256195223,0.003766115244311603
cluster_init_gain,1.25,False,0.7376688113451554,0.0025375388027879175,0.2646602833202757,0.0035242527338237455
cluster_init_gain,1.5,True,0.7347275601948778,0.004547153251052439,0.26211586202442777,0.0036313722669648516
cluster_init_gain,1.75,False,0.7334226699648787,0.0032449179717015356,0.2575194343627874,0.003214057841558711
cluster_init_gain,2.0,False,0.7332157419728622,0.0031669777789331117,0.25862339160397624,0.002903299830617744
cluster_init_gain,2.25,False,0.7329178801408379,0.002511595274081207,0.258349507659774,0.0017823874857266758
cluster_init_gain,2.5,False,0.7331604991115289,0.0020316616306561533,0.2579516980849679,0.003154698757450966
cluster_init_gain,3.0,False,0.7381524049615876,0.0033177812199349822,0.25944350771453334,0.0010410975922813576
cluster_init_gain,3.5,False,0.7395861263393159,0.0028537334692267597,0.259396120119429,0.002005198187772915
tau_c,0.22,False,0.7356702914698818,0.002977636209750002,0.25877886044185466,0.003336376150733848
tau_c,0.25,False,0.7336810949037106,0.0018018082091789498,0.2579401270825877,0.004044757000664445
tau_c,0.28,False,0.7344879296011801,0.002797469659653479,0.2594417903038575,0.002776536649569769
tau_c,0.3,True,0.7347275601948778,0.004547153251052439,0.26211586202442777,0.0036313722669648516
tau_c,0.32,False,0.7412131707524493,0.0017579263000123138,0.2628104955075621,0.003529149851223947
tau_c,0.35,False,0.7399885766301725,0.003193873134687465,0.2641277801039872,0.004367616648137478
tau_c,0.38,False,0.735935550375583,0.005471518320664541,0.26376315271964007,0.0055252852517926705
tau_c,0.42,False,0.7362911187428606,0.0038191711833347568,0.2639357418543416,0.003474154755529705
tau_c,0.5,False,0.7389236449727746,0.0027295707671346602,0.2652792949943346,0.0034221897720877266
tau_c,0.65,False,0.7398453969126403,0.0011684999228351728,0.2643236780701474,0.0025687090359398927
tau_s,0.03,False,0.732452182509097,0.0029538821353644654,0.26188768518069405,0.005145195169372795
tau_s,0.05,False,0.7336850830566827,0.0037793252025930977,0.2604694615042101,0.005746302959950832
tau_s,0.06,False,0.73386365961256,0.0032694160821991817,0.26185995303893,0.004292739974543553
tau_s,0.08,True,0.7347275601948778,0.004547153251052439,0.26211586202442777,0.0036313722669648516
tau_s,0.1,False,0.7374301293647473,0.0041866305753694615,0.26401251567391754,0.002627146620237863
tau_s,0.12,False,0.7375539623226941,0.0047568095895590854,0.26214325365745417,0.005302818378688391
tau_s,0.15,False,0.7380985722439212,0.004209571040232787,0.26385878978197047,0.0029861208491971146
