run_id,stage,knn_k,num_clusters,num_hops,tau_s,tau_c,cluster_init_gain,beta,lambda_H,lambda_bal,lambda_E,lambda_usage_entropy,assignment_entropy_lower,assignment_entropy_upper,usage_entropy_lower,usage_entropy_upper,epochs,overrides
perf__loose_usage_lH02,regularization_profile,20,28,4,0.08,0.3,2.0,0.02,0.2,0.0,0.1,0.1,0.45,0.85,0.6,0.92,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.1, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.6, ""usage_entropy_upper"": 0.92}"
beta_nontrivial__b0p03,beta_nontrivial,20,28,4,0.08,0.3,2.0,0.03,0.2,0.0,0.1,0.25,0.45,0.85,0.65,0.9,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.03, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
beta_nontrivial__b0p05,beta_nontrivial,20,28,4,0.08,0.3,2.0,0.05,0.2,0.0,0.1,0.25,0.45,0.85,0.65,0.9,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.05, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
beta_nontrivial__b0p08,beta_nontrivial,20,28,4,0.08,0.3,2.0,0.08,0.2,0.0,0.1,0.25,0.45,0.85,0.65,0.9,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.08, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
tauc_perf__tc0p28,tau_c_perf,20,28,4,0.08,0.28,2.0,0.02,0.2,0.0,0.1,0.25,0.45,0.85,0.65,0.9,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.28, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
tauc_perf__tc0p32,tau_c_perf,20,28,4,0.08,0.32,2.0,0.02,0.2,0.0,0.1,0.25,0.45,0.85,0.65,0.9,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.32, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
tauc_perf__tc0p35,tau_c_perf,20,28,4,0.08,0.35,2.0,0.02,0.2,0.0,0.1,0.25,0.45,0.85,0.65,0.9,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.35, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
graph_perf__k16__C28__L4,graph_perf,16,28,4,0.08,0.3,2.0,0.02,0.2,0.0,0.1,0.25,0.45,0.85,0.65,0.9,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 16, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
graph_perf__k24__C28__L4,graph_perf,24,28,4,0.08,0.3,2.0,0.02,0.2,0.0,0.1,0.25,0.45,0.85,0.65,0.9,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 24, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
graph_perf__k20__C36__L3,graph_perf,20,36,3,0.08,0.3,2.0,0.02,0.2,0.0,0.1,0.25,0.45,0.85,0.65,0.9,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 36, ""num_hops"": 3, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
tau_perf__tau0p05,tau_perf,20,28,4,0.05,0.3,2.0,0.02,0.2,0.0,0.1,0.25,0.45,0.85,0.65,0.9,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.05, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
tau_perf__tau0p1,tau_perf,20,28,4,0.1,0.3,2.0,0.02,0.2,0.0,0.1,0.25,0.45,0.85,0.65,0.9,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.1, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
tau_perf__tau0p12,tau_perf,20,28,4,0.12,0.3,2.0,0.02,0.2,0.0,0.1,0.25,0.45,0.85,0.65,0.9,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.12, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
