rank,run_id,stage,selection_score,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,num_trials,num_diag_trials,H_ent_norm_mean,H_ent_norm_std,H_maxp_mean,H_maxp_std,pi_ent_norm_mean,pi_ent_norm_std,pi_std_mean,pi_std_std,effC_mean,effC_std,Lvar_mean,Lvar_std,Lvar_active_mean,Lvar_active_std,scale_adh_std_mean,scale_adh_std_std,overrides
11,tauc_perf__tc0p35,tau_c_perf,0.9919806091286637,0.7339328703250366,0.0033860427610109033,0.2580477388036271,0.0025784862604005918,3,3,0.5697666666666666,0.03404020498697907,0.48616666666666664,0.040435737768574086,0.7922666666666668,0.04481081218733806,0.06319999999999999,0.012563272689338024,14.736666666666666,2.3498132313488713,1e-06,1.4142135623730954e-06,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.35, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
12,perf__light_lH02_lU01,regularization_profile,0.9919491288177241,0.7334397674294038,0.003865015291536841,0.25850936138832037,0.0037814969131289475,3,3,0.5902666666666666,0.012205554291205106,0.4689666666666667,0.016101621726466637,0.8257333333333333,0.02081447146151498,0.054307333333333326,0.0063071919971480865,16.413333333333334,0.8818289075678022,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.1, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
13,perf__loose_usage_lH02,regularization_profile,0.9916008478085732,0.7333394142009272,0.0037884635080170817,0.25826143360764603,0.003416387129455071,3,3,0.5913333333333334,0.011598946312297322,0.46859999999999996,0.01527765252473908,0.8273,0.01972933518055453,0.053674,0.006482047875993099,16.51,0.8486459803710843,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.1, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.6, ""usage_entropy_upper"": 0.92}"
14,perf__soft_assign_lH02,regularization_profile,0.9915673545287591,0.7320465645778976,0.003578937851277931,0.25952078995086153,0.0008490934458982985,3,3,0.6698333333333334,0.00680898099734623,0.3949666666666667,0.021454499657544,0.8631333333333333,0.006792315919887365,0.049246000000000005,0.0011589739715225146,18.216666666666665,0.41986770403174434,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.55, ""assignment_entropy_upper"": 0.9, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
15,tauc_perf__tc0p28,tau_c_perf,0.9915237057153472,0.7325675823031008,0.003493314559638367,0.25895612341224633,0.0017473093804350204,3,3,0.5975333333333334,0.006689461031270667,0.45776666666666666,0.0048609555530666005,0.8427666666666666,0.027163742173877462,0.049499999999999995,0.008933551029685788,17.336666666666666,1.3349240511063623,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.28, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
16,graph_perf__k20__C36__L3,graph_perf,0.9911749556460111,0.733273414880984,0.004607408086679731,0.25790154076502714,0.0029153752311283643,3,3,0.5608333333333334,0.009798752755098745,0.5000333333333333,0.013168227755556998,0.7801,0.010742749492875021,0.060512333333333335,0.002159360450586137,16.673333333333332,0.563579827728266,1e-06,1.4142135623730954e-06,9.999999999999999e-05,0.0001414213562373095,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 36, ""num_hops"": 3, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
17,tauc_perf__tc0p32,tau_c_perf,0.9910346705348447,0.7330924529613526,0.003396225278902684,0.25794221757349206,0.00288487656447885,3,3,0.5633333333333334,0.04196270831212982,0.4921333333333333,0.0455851827778379,0.7851666666666667,0.056670529280119536,0.064982,0.015097455834234674,14.53,2.7628005115582748,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.32, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
18,beta_nontrivial__b0p03,beta_nontrivial,0.9908269821753538,0.7329929429271588,0.004790472718714699,0.25783403924819503,0.0028804294535587976,3,3,0.5964666666666667,0.012051648112280015,0.4586666666666666,0.005202777036246022,0.8405,0.029736173257499023,0.04984533333333333,0.008841518057186536,17.246666666666666,1.4274530542971362,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.03, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
19,graph_perf__k24__C28__L4,graph_perf,0.9906801187077193,0.7324048745505457,0.0034914861005253236,0.2582752441571736,0.0024075807020336793,3,3,0.5870000000000001,0.014106027080648887,0.4764,0.027101414477231026,0.8195666666666667,0.013928468050084384,0.056692,0.003701645850159089,15.99,0.8357032966310466,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 24, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
20,beta_nontrivial__b0p05,beta_nontrivial,0.9889518156778452,0.732434109804797,0.00421158546326521,0.2565177058730483,0.003319520072500479,3,3,0.5977666666666667,0.01140915811481673,0.4572333333333333,0.005837998134825174,0.8433666666666667,0.028054748063186894,0.04921433333333333,0.008556693689088611,17.373333333333335,1.3560317924821017,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.05, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
