run_id,stage,num_diag_trials,H_ent_norm_mean,H_ent_norm_std,H_maxp_mean,H_maxp_std,pi_ent_norm_mean,pi_ent_norm_std,pi_std_mean,pi_std_std,effC_mean,effC_std,Lvar_mean,Lvar_std,Lvar_active_mean,Lvar_active_std,scale_adh_std_mean,scale_adh_std_std,overrides
perf__loose_usage_lH02,regularization_profile,3,0.5913333333333334,0.011598946312297322,0.46859999999999996,0.01527765252473908,0.8273,0.01972933518055453,0.053674,0.006482047875993099,16.51,0.8486459803710843,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.1, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.6, ""usage_entropy_upper"": 0.92}"
beta_nontrivial__b0p03,beta_nontrivial,3,0.5964666666666667,0.012051648112280015,0.4586666666666666,0.005202777036246022,0.8405,0.029736173257499023,0.04984533333333333,0.008841518057186536,17.246666666666666,1.4274530542971362,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.03, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
beta_nontrivial__b0p05,beta_nontrivial,3,0.5977666666666667,0.01140915811481673,0.4572333333333333,0.005837998134825174,0.8433666666666667,0.028054748063186894,0.04921433333333333,0.008556693689088611,17.373333333333335,1.3560317924821017,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.05, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
beta_nontrivial__b0p08,beta_nontrivial,3,0.5966999999999999,0.007446251853561408,0.4579,0.004814561246884295,0.8403333333333333,0.026169235542691915,0.049992666666666664,0.00844750757455844,17.21666666666667,1.2657101651729845,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.08, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
tauc_perf__tc0p28,tau_c_perf,3,0.5975333333333334,0.006689461031270667,0.45776666666666666,0.0048609555530666005,0.8427666666666666,0.027163742173877462,0.049499999999999995,0.008933551029685788,17.336666666666666,1.3349240511063623,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.28, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
tauc_perf__tc0p32,tau_c_perf,3,0.5633333333333334,0.04196270831212982,0.4921333333333333,0.0455851827778379,0.7851666666666667,0.056670529280119536,0.064982,0.015097455834234674,14.53,2.7628005115582748,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.32, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
tauc_perf__tc0p35,tau_c_perf,3,0.5697666666666666,0.03404020498697907,0.48616666666666664,0.040435737768574086,0.7922666666666668,0.04481081218733806,0.06319999999999999,0.012563272689338024,14.736666666666666,2.3498132313488713,1e-06,1.4142135623730954e-06,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.35, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
graph_perf__k16__C28__L4,graph_perf,3,0.5949,0.010185283501208973,0.461,0.004724404724407071,0.8422999999999999,0.030792639813219426,0.049264333333333334,0.009765186816213786,17.343333333333334,1.4817182218252187,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 16, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
graph_perf__k24__C28__L4,graph_perf,3,0.5870000000000001,0.014106027080648887,0.4764,0.027101414477231026,0.8195666666666667,0.013928468050084384,0.056692,0.003701645850159089,15.99,0.8357032966310466,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 24, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
graph_perf__k20__C36__L3,graph_perf,3,0.5608333333333334,0.009798752755098745,0.5000333333333333,0.013168227755556998,0.7801,0.010742749492875021,0.060512333333333335,0.002159360450586137,16.673333333333332,0.563579827728266,1e-06,1.4142135623730954e-06,9.999999999999999e-05,0.0001414213562373095,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 36, ""num_hops"": 3, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
tau_perf__tau0p05,tau_perf,3,0.5457333333333333,0.029939642987554523,0.5179666666666667,0.04349868452672514,0.7676999999999999,0.036811501825742825,0.06801466666666667,0.010125425730418558,13.450000000000001,1.8045682770864244,1e-06,1.4142135623730954e-06,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.05, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
tau_perf__tau0p1,tau_perf,3,0.5940333333333333,0.01059853239316125,0.4626333333333334,0.0037747700445045673,0.8404666666666666,0.02961714968655082,0.04966633333333333,0.00938166731213357,17.246666666666666,1.4124525557420404,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.1, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
tau_perf__tau0p12,tau_perf,3,0.5917,0.011203868379567244,0.4656666666666667,0.005703994701571483,0.8361666666666666,0.02957716837171689,0.050926,0.009058285304993804,17.033333333333335,1.3585858660959025,1e-06,1.4142135623730954e-06,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.12, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
