method,seeds,targets,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
Non-residual + KMeans,5,8,0.6028884232434596,0.0019147715843970963,0.13728182765519215,0.0031054445323143273
Residual + KMeans,5,8,0.6781751904456365,0.0034125647059319794,0.1822806766416107,0.00447542935995906
RECAP w/o Residual,5,8,0.5339028790875309,0.0019072161258694247,0.10600892480100413,0.0005016058454383252
RECAP,5,8,0.7448118082838753,0.002454384642903591,0.2658414944970069,0.005708634301059843
